X,Y,FL_den
4729418.0884,2700919.139745445,0.0
4739418.0884,2700919.139745445,0.0
4749418.0884,2700919.139745445,0.0
4759418.0884,2700919.139745445,0.0
4769418.0884,2700919.139745445,0.0
4779418.0884,2700919.139745445,0.0
4789418.0884,2700919.139745445,0.0
4799418.0884,2700919.139745445,0.0
4809418.0884,2700919.139745445,0.0
4819418.0884,2700919.139745445,0.0
4829418.0884,2700919.139745445,0.0
4839418.0884,2700919.139745445,0.0
4849418.0884,2700919.139745445,0.0
4859418.0884,2700919.139745445,0.0
4869418.0884,2700919.139745445,0.0
4879418.0884,2700919.139745445,0.0
4889418.0884,2700919.139745445,3.35227268806193e-05
4899418.0884,2700919.139745445,6.742253754055128e-05
4909418.0884,2700919.139745445,5.3190789913060144e-05
4919418.0884,2700919.139745445,1.6418021914432757e-05
4929418.0884,2700919.139745445,3.049191582249477e-05
4939418.0884,2700919.139745445,4.735097536467947e-05
4949418.0884,2700919.139745445,3.2957002986222506e-05
4959418.0884,2700919.139745445,4.6324576032930045e-06
4969418.0884,2700919.139745445,2.2128073396743275e-05
4979418.0884,2700919.139745445,5.459686508402228e-05
4989418.0884,2700919.139745445,2.621311796247028e-05
4999418.0884,2700919.139745445,6.093965225772991e-07
5009418.0884,2700919.139745445,0.0
4729418.0884,2690919.139745445,0.0
4739418.0884,2690919.139745445,0.0
4749418.0884,2690919.139745445,0.0
4759418.0884,2690919.139745445,0.0
4769418.0884,2690919.139745445,0.0
4779418.0884,2690919.139745445,0.0
4789418.0884,2690919.139745445,0.0
4799418.0884,2690919.139745445,0.0
4809418.0884,2690919.139745445,0.0
4819418.0884,2690919.139745445,0.0
4829418.0884,2690919.139745445,0.0
4839418.0884,2690919.139745445,0.0
4849418.0884,2690919.139745445,0.0
4859418.0884,2690919.139745445,0.0
4869418.0884,2690919.139745445,0.0
4879418.0884,2690919.139745445,0.0
4889418.0884,2690919.139745445,6.0476049839053296e-05
4899418.0884,2690919.139745445,9.017606498673558e-05
4909418.0884,2690919.139745445,5.543741644942202e-05
4919418.0884,2690919.139745445,6.383408617693931e-05
4929418.0884,2690919.139745445,6.405494787031785e-05
4939418.0884,2690919.139745445,6.0410340665839606e-05
4949418.0884,2690919.139745445,3.980873589171097e-05
4959418.0884,2690919.139745445,8.637337305117399e-05
4969418.0884,2690919.139745445,0.0001190804105135
